scan_id,window_id,rank,row_offset,col_offset,source_row_start,source_col_start,min_elevation_m,max_elevation_m,elevation_range_m,max_neighbor_grade,roughness_m,hazard,selected_route_id,note
first-trusted-square-9x9-corridor-scan-v2,r-12-c+16,1,-12,16,3960,3806,305.726000,341.536000,35.810000,0.513950,5.959750,blocked,,lowest max-neighbor-grade window in this measured 9x9 scan; still blocked
first-trusted-square-9x9-corridor-scan-v2,r+0-c+12,2,0,12,3972,3802,298.754000,343.999000,45.245000,0.579000,7.380708,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+0-c-16,3,0,-16,3972,3774,633.070000,684.567000,51.497000,0.615750,8.107167,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-12-c+12,4,-12,12,3960,3802,339.980000,379.498000,39.518000,0.622300,6.907750,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+16-c+4,5,16,4,3988,3794,325.117000,370.652000,45.535000,0.622950,7.475292,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-4-c+12,6,-4,12,3968,3802,318.603000,356.256000,37.653000,0.630850,6.155667,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-8-c+16,7,-8,16,3964,3806,295.140000,328.299000,33.159000,0.636800,5.881958,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+8-c-8,8,8,-8,3980,3782,505.456000,548.224000,42.768000,0.648450,7.056667,blocked,southwest-bypass,promoted route evidence window; still blocked
first-trusted-square-9x9-corridor-scan-v2,r+12-c+4,9,12,4,3984,3794,340.783000,389.979000,49.196000,0.660000,8.154042,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-8-c+12,10,-8,12,3964,3802,330.758000,370.192000,39.434000,0.667850,6.879292,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+16-c-12,11,16,-12,3988,3778,517.499000,563.000000,45.501000,0.670850,7.249833,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-4-c+16,12,-4,16,3968,3806,271.374000,318.070000,46.696000,0.678650,7.609500,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+16-c+8,13,16,8,3988,3798,274.355000,325.965000,51.610000,0.681450,8.664417,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+4-c-8,14,4,-8,3976,3782,518.387000,570.991000,52.604000,0.691300,9.079875,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+4-c-12,15,4,-12,3976,3778,561.726000,607.358000,45.632000,0.695100,8.262583,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+12-c-12,16,12,-12,3984,3778,532.072000,574.383000,42.311000,0.701200,7.378292,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-12-c-16,17,-12,-16,3960,3774,688.883000,737.863000,48.980000,0.701200,8.226750,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+0-c+8,18,0,8,3972,3798,338.444000,391.745000,53.301000,0.705400,8.517167,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-4-c-8,19,-4,-8,3968,3782,559.541000,608.833000,49.292000,0.709100,8.112583,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-16-c-8,20,-16,-8,3956,3782,603.893000,648.993000,45.100000,0.710050,7.584083,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-4-c+8,21,-4,8,3968,3798,359.544000,409.997000,50.453000,0.712500,8.562750,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-16-c+0,22,-16,0,3956,3790,499.827000,539.461000,39.634000,0.715400,7.213208,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+8-c+0,23,8,0,3980,3790,409.003000,453.571000,44.568000,0.719950,7.154583,blocked,south-stepout,promoted route evidence window; still blocked
first-trusted-square-9x9-corridor-scan-v2,r+0-c-12,24,0,-12,3972,3778,585.376000,641.654000,56.278000,0.725050,9.333750,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-4-c+0,25,-4,0,3968,3790,460.176000,506.517000,46.341000,0.728000,7.716125,blocked,north-rim-stepout,promoted route evidence window; still blocked
first-trusted-square-9x9-corridor-scan-v2,r-8-c-4,26,-8,-4,3964,3786,527.272000,574.164000,46.892000,0.732150,8.067958,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+8-c+4,27,8,4,3980,3794,357.148000,404.510000,47.362000,0.743900,8.105083,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r-8-c+0,28,-8,0,3964,3790,473.789000,518.957000,45.168000,0.744450,7.451708,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+16-c+16,29,16,16,3988,3806,171.740000,220.850000,49.110000,0.747700,8.061667,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+0-c-4,30,0,-4,3972,3786,492.629000,544.454000,51.825000,0.751700,8.527917,blocked,west-contour-detour,promoted route evidence window; still blocked
first-trusted-square-9x9-corridor-scan-v2,r-12-c+0,31,-12,0,3960,3790,481.148000,527.339000,46.191000,0.754800,7.720375,blocked,,measured scan window; not promoted as a route candidate
first-trusted-square-9x9-corridor-scan-v2,r+8-c+8,32,8,8,3980,3798,313.104000,358.261000,45.157000,0.762200,7.279875,blocked,,measured scan window; not promoted as a route candidate
