tile_id,row,col,elevation_m
first-trusted-square-north-rim-lola,0,0,506.517
first-trusted-square-north-rim-lola,0,1,495.263
first-trusted-square-north-rim-lola,0,2,483.386
first-trusted-square-north-rim-lola,0,3,471.337
first-trusted-square-north-rim-lola,1,0,504.477
first-trusted-square-north-rim-lola,1,1,492.840
first-trusted-square-north-rim-lola,1,2,479.494
first-trusted-square-north-rim-lola,1,3,467.617
first-trusted-square-north-rim-lola,2,0,502.378
first-trusted-square-north-rim-lola,2,1,489.271
first-trusted-square-north-rim-lola,2,2,474.711
first-trusted-square-north-rim-lola,2,3,464.347
first-trusted-square-north-rim-lola,3,0,499.505
first-trusted-square-north-rim-lola,3,1,487.170
first-trusted-square-north-rim-lola,3,2,473.865
first-trusted-square-north-rim-lola,3,3,460.176
