tile_id,row,col,elevation_m
first-trusted-square-northeast-stepout-lola,0,0,341.536
first-trusted-square-northeast-stepout-lola,0,1,332.075
first-trusted-square-northeast-stepout-lola,0,2,325.045
first-trusted-square-northeast-stepout-lola,0,3,318.160
first-trusted-square-northeast-stepout-lola,1,0,339.786
first-trusted-square-northeast-stepout-lola,1,1,330.196
first-trusted-square-northeast-stepout-lola,1,2,321.057
first-trusted-square-northeast-stepout-lola,1,3,313.479
first-trusted-square-northeast-stepout-lola,2,0,337.032
first-trusted-square-northeast-stepout-lola,2,1,326.753
first-trusted-square-northeast-stepout-lola,2,2,318.107
first-trusted-square-northeast-stepout-lola,2,3,309.947
first-trusted-square-northeast-stepout-lola,3,0,331.956
first-trusted-square-northeast-stepout-lola,3,1,324.070
first-trusted-square-northeast-stepout-lola,3,2,315.028
first-trusted-square-northeast-stepout-lola,3,3,305.726
