tile_id,row,col,elevation_m
first-trusted-square-south-stepout-lola,0,0,453.571
first-trusted-square-south-stepout-lola,0,1,439.172
first-trusted-square-south-stepout-lola,0,2,435.336
first-trusted-square-south-stepout-lola,0,3,422.196
first-trusted-square-south-stepout-lola,1,0,444.060
first-trusted-square-south-stepout-lola,1,1,441.784
first-trusted-square-south-stepout-lola,1,2,432.085
first-trusted-square-south-stepout-lola,1,3,417.735
first-trusted-square-south-stepout-lola,2,0,439.913
first-trusted-square-south-stepout-lola,2,1,437.508
first-trusted-square-south-stepout-lola,2,2,424.625
first-trusted-square-south-stepout-lola,2,3,411.136
first-trusted-square-south-stepout-lola,3,0,439.388
first-trusted-square-south-stepout-lola,3,1,431.991
first-trusted-square-south-stepout-lola,3,2,420.269
first-trusted-square-south-stepout-lola,3,3,409.003
