tile_id,row,col,elevation_m
first-trusted-square-southwest-bypass-lola,0,0,548.224
first-trusted-square-southwest-bypass-lola,0,1,535.255
first-trusted-square-southwest-bypass-lola,0,2,524.904
first-trusted-square-southwest-bypass-lola,0,3,514.717
first-trusted-square-southwest-bypass-lola,1,0,540.188
first-trusted-square-southwest-bypass-lola,1,1,530.700
first-trusted-square-southwest-bypass-lola,1,2,522.620
first-trusted-square-southwest-bypass-lola,1,3,511.091
first-trusted-square-southwest-bypass-lola,2,0,532.019
first-trusted-square-southwest-bypass-lola,2,1,524.011
first-trusted-square-southwest-bypass-lola,2,2,514.191
first-trusted-square-southwest-bypass-lola,2,3,507.947
first-trusted-square-southwest-bypass-lola,3,0,527.101
first-trusted-square-southwest-bypass-lola,3,1,519.189
first-trusted-square-southwest-bypass-lola,3,2,510.315
first-trusted-square-southwest-bypass-lola,3,3,505.456
