tile_id,row,col,elevation_m
first-trusted-square-west-contour-lola,0,0,544.454
first-trusted-square-west-contour-lola,0,1,532.358
first-trusted-square-west-contour-lola,0,2,521.398
first-trusted-square-west-contour-lola,0,3,512.117
first-trusted-square-west-contour-lola,1,0,540.036
first-trusted-square-west-contour-lola,1,1,526.731
first-trusted-square-west-contour-lola,1,2,516.263
first-trusted-square-west-contour-lola,1,3,503.987
first-trusted-square-west-contour-lola,2,0,536.315
first-trusted-square-west-contour-lola,2,1,525.826
first-trusted-square-west-contour-lola,2,2,510.792
first-trusted-square-west-contour-lola,2,3,499.327
first-trusted-square-west-contour-lola,3,0,531.411
first-trusted-square-west-contour-lola,3,1,520.169
first-trusted-square-west-contour-lola,3,2,505.604
first-trusted-square-west-contour-lola,3,3,492.629
